"","rep","method","coverage","alpha"
"1",1,"conf",1,0.95
"2",1,"conf",0.95,0.9
"3",1,"conf",0.9,0.85
"4",1,"conf",0.8,0.8
"5",1,"conf",0.7,0.75
"6",1,"conf",0.65,0.7
"7",1,"conf",0.65,0.65
"8",1,"conf",0.6,0.6
"9",1,"conf",0.5,0.55
"10",1,"conf",0.35,0.5
"11",1,"conf",0.2,0.45
"12",1,"conf",0.15,0.4
"13",1,"conf",0.15,0.35
"14",1,"conf",0.15,0.3
"15",1,"conf",0.1,0.25
"16",1,"conf",0.05,0.2
"17",1,"conf",0.05,0.15
"18",1,"conf",0,0.0999999999999999
"19",1,"conf",0,0.05
"20",1,"ada",0.5,0.95
"21",1,"ada",0.3,0.9
"22",1,"ada",0.4,0.85
"23",1,"ada",0.4,0.8
"24",1,"ada",0.35,0.75
"25",1,"ada",0.35,0.7
"26",1,"ada",0.25,0.65
"27",1,"ada",0.2,0.6
"28",1,"ada",0.25,0.55
"29",1,"ada",0.2,0.5
"30",1,"ada",0.05,0.45
"31",1,"ada",0,0.4
"32",1,"ada",0.15,0.35
"33",1,"ada",0.15,0.3
"34",1,"ada",0.05,0.25
"35",1,"ada",0.05,0.2
"36",1,"ada",0.1,0.15
"37",1,"ada",0,0.0999999999999999
"38",1,"ada",0,0.05
"39",2,"conf",0.95,0.95
"40",2,"conf",0.8,0.9
"41",2,"conf",0.8,0.85
"42",2,"conf",0.8,0.8
"43",2,"conf",0.75,0.75
"44",2,"conf",0.7,0.7
"45",2,"conf",0.7,0.65
"46",2,"conf",0.65,0.6
"47",2,"conf",0.5,0.55
"48",2,"conf",0.5,0.5
"49",2,"conf",0.4,0.45
"50",2,"conf",0.3,0.4
"51",2,"conf",0.2,0.35
"52",2,"conf",0.1,0.3
"53",2,"conf",0.05,0.25
"54",2,"conf",0.05,0.2
"55",2,"conf",0.05,0.15
"56",2,"conf",0,0.0999999999999999
"57",2,"conf",0,0.05
"58",2,"ada",0.65,0.95
"59",2,"ada",0.6,0.9
"60",2,"ada",0.65,0.85
"61",2,"ada",0.45,0.8
"62",2,"ada",0.5,0.75
"63",2,"ada",0.35,0.7
"64",2,"ada",0.35,0.65
"65",2,"ada",0.2,0.6
"66",2,"ada",0.25,0.55
"67",2,"ada",0.2,0.5
"68",2,"ada",0.15,0.45
"69",2,"ada",0.15,0.4
"70",2,"ada",0.1,0.35
"71",2,"ada",0.05,0.3
"72",2,"ada",0,0.25
"73",2,"ada",0,0.2
"74",2,"ada",0,0.15
"75",2,"ada",0,0.0999999999999999
"76",2,"ada",0,0.05
"77",3,"conf",1,0.95
"78",3,"conf",1,0.9
"79",3,"conf",1,0.85
"80",3,"conf",0.85,0.8
"81",3,"conf",0.75,0.75
"82",3,"conf",0.7,0.7
"83",3,"conf",0.7,0.65
"84",3,"conf",0.65,0.6
"85",3,"conf",0.6,0.55
"86",3,"conf",0.5,0.5
"87",3,"conf",0.5,0.45
"88",3,"conf",0.4,0.4
"89",3,"conf",0.3,0.35
"90",3,"conf",0.25,0.3
"91",3,"conf",0.2,0.25
"92",3,"conf",0.1,0.2
"93",3,"conf",0.1,0.15
"94",3,"conf",0.05,0.0999999999999999
"95",3,"conf",0,0.05
"96",3,"ada",0.65,0.95
"97",3,"ada",0.6,0.9
"98",3,"ada",0.25,0.85
"99",3,"ada",0.3,0.8
"100",3,"ada",0.25,0.75
"101",3,"ada",0.25,0.7
"102",3,"ada",0.3,0.65
"103",3,"ada",0.15,0.6
"104",3,"ada",0.2,0.55
"105",3,"ada",0.15,0.5
"106",3,"ada",0.2,0.45
"107",3,"ada",0.05,0.4
"108",3,"ada",0.05,0.35
"109",3,"ada",0.05,0.3
"110",3,"ada",0,0.25
"111",3,"ada",0,0.2
"112",3,"ada",0,0.15
"113",3,"ada",0,0.0999999999999999
"114",3,"ada",0,0.05
"115",4,"conf",1,0.95
"116",4,"conf",0.95,0.9
"117",4,"conf",0.85,0.85
"118",4,"conf",0.85,0.8
"119",4,"conf",0.85,0.75
"120",4,"conf",0.8,0.7
"121",4,"conf",0.65,0.65
"122",4,"conf",0.6,0.6
"123",4,"conf",0.5,0.55
"124",4,"conf",0.4,0.5
"125",4,"conf",0.4,0.45
"126",4,"conf",0.4,0.4
"127",4,"conf",0.4,0.35
"128",4,"conf",0.3,0.3
"129",4,"conf",0.15,0.25
"130",4,"conf",0.1,0.2
"131",4,"conf",0.1,0.15
"132",4,"conf",0.05,0.0999999999999999
"133",4,"conf",0,0.05
"134",4,"ada",0.75,0.95
"135",4,"ada",0.7,0.9
"136",4,"ada",0.5,0.85
"137",4,"ada",0.45,0.8
"138",4,"ada",0.15,0.75
"139",4,"ada",0.1,0.7
"140",4,"ada",0.05,0.65
"141",4,"ada",0.1,0.6
"142",4,"ada",0.15,0.55
"143",4,"ada",0.15,0.5
"144",4,"ada",0.15,0.45
"145",4,"ada",0.1,0.4
"146",4,"ada",0.05,0.35
"147",4,"ada",0.05,0.3
"148",4,"ada",0.05,0.25
"149",4,"ada",0,0.2
"150",4,"ada",0,0.15
"151",4,"ada",0,0.0999999999999999
"152",4,"ada",0,0.05
"153",5,"conf",0.85,0.95
"154",5,"conf",0.85,0.9
"155",5,"conf",0.8,0.85
"156",5,"conf",0.8,0.8
"157",5,"conf",0.65,0.75
"158",5,"conf",0.55,0.7
"159",5,"conf",0.55,0.65
"160",5,"conf",0.5,0.6
"161",5,"conf",0.45,0.55
"162",5,"conf",0.45,0.5
"163",5,"conf",0.45,0.45
"164",5,"conf",0.35,0.4
"165",5,"conf",0.3,0.35
"166",5,"conf",0.25,0.3
"167",5,"conf",0.15,0.25
"168",5,"conf",0.15,0.2
"169",5,"conf",0,0.15
"170",5,"conf",0,0.0999999999999999
"171",5,"conf",0,0.05
"172",5,"ada",0.65,0.95
"173",5,"ada",0.65,0.9
"174",5,"ada",0.5,0.85
"175",5,"ada",0.5,0.8
"176",5,"ada",0.25,0.75
"177",5,"ada",0.3,0.7
"178",5,"ada",0.2,0.65
"179",5,"ada",0.25,0.6
"180",5,"ada",0.2,0.55
"181",5,"ada",0.1,0.5
"182",5,"ada",0.05,0.45
"183",5,"ada",0.05,0.4
"184",5,"ada",0.05,0.35
"185",5,"ada",0,0.3
"186",5,"ada",0,0.25
"187",5,"ada",0.05,0.2
"188",5,"ada",0,0.15
"189",5,"ada",0,0.0999999999999999
"190",5,"ada",0,0.05
"191",6,"conf",0.95,0.95
"192",6,"conf",0.85,0.9
"193",6,"conf",0.8,0.85
"194",6,"conf",0.75,0.8
"195",6,"conf",0.7,0.75
"196",6,"conf",0.6,0.7
"197",6,"conf",0.55,0.65
"198",6,"conf",0.55,0.6
"199",6,"conf",0.4,0.55
"200",6,"conf",0.4,0.5
"201",6,"conf",0.35,0.45
"202",6,"conf",0.2,0.4
"203",6,"conf",0.15,0.35
"204",6,"conf",0.15,0.3
"205",6,"conf",0.1,0.25
"206",6,"conf",0.1,0.2
"207",6,"conf",0.1,0.15
"208",6,"conf",0.1,0.0999999999999999
"209",6,"conf",0.1,0.05
"210",6,"ada",0.5,0.95
"211",6,"ada",0.35,0.9
"212",6,"ada",0.4,0.85
"213",6,"ada",0.3,0.8
"214",6,"ada",0.25,0.75
"215",6,"ada",0.2,0.7
"216",6,"ada",0.2,0.65
"217",6,"ada",0.1,0.6
"218",6,"ada",0.2,0.55
"219",6,"ada",0.1,0.5
"220",6,"ada",0.15,0.45
"221",6,"ada",0.1,0.4
"222",6,"ada",0.1,0.35
"223",6,"ada",0.1,0.3
"224",6,"ada",0.1,0.25
"225",6,"ada",0.15,0.2
"226",6,"ada",0.1,0.15
"227",6,"ada",0.05,0.0999999999999999
"228",6,"ada",0.1,0.05
"229",7,"conf",1,0.95
"230",7,"conf",0.95,0.9
"231",7,"conf",0.9,0.85
"232",7,"conf",0.9,0.8
"233",7,"conf",0.85,0.75
"234",7,"conf",0.85,0.7
"235",7,"conf",0.85,0.65
"236",7,"conf",0.75,0.6
"237",7,"conf",0.7,0.55
"238",7,"conf",0.65,0.5
"239",7,"conf",0.6,0.45
"240",7,"conf",0.55,0.4
"241",7,"conf",0.55,0.35
"242",7,"conf",0.55,0.3
"243",7,"conf",0.45,0.25
"244",7,"conf",0.35,0.2
"245",7,"conf",0.35,0.15
"246",7,"conf",0.25,0.0999999999999999
"247",7,"conf",0.1,0.05
"248",7,"ada",0.55,0.95
"249",7,"ada",0.5,0.9
"250",7,"ada",0.5,0.85
"251",7,"ada",0.3,0.8
"252",7,"ada",0.35,0.75
"253",7,"ada",0.25,0.7
"254",7,"ada",0.25,0.65
"255",7,"ada",0.2,0.6
"256",7,"ada",0.2,0.55
"257",7,"ada",0.1,0.5
"258",7,"ada",0.05,0.45
"259",7,"ada",0.1,0.4
"260",7,"ada",0.05,0.35
"261",7,"ada",0.15,0.3
"262",7,"ada",0.05,0.25
"263",7,"ada",0.05,0.2
"264",7,"ada",0,0.15
"265",7,"ada",0,0.0999999999999999
"266",7,"ada",0,0.05
"267",8,"conf",1,0.95
"268",8,"conf",1,0.9
"269",8,"conf",1,0.85
"270",8,"conf",1,0.8
"271",8,"conf",0.85,0.75
"272",8,"conf",0.85,0.7
"273",8,"conf",0.8,0.65
"274",8,"conf",0.8,0.6
"275",8,"conf",0.75,0.55
"276",8,"conf",0.7,0.5
"277",8,"conf",0.6,0.45
"278",8,"conf",0.5,0.4
"279",8,"conf",0.5,0.35
"280",8,"conf",0.45,0.3
"281",8,"conf",0.3,0.25
"282",8,"conf",0.3,0.2
"283",8,"conf",0.2,0.15
"284",8,"conf",0.2,0.0999999999999999
"285",8,"conf",0.15,0.05
"286",8,"ada",0.7,0.95
"287",8,"ada",0.45,0.9
"288",8,"ada",0.4,0.85
"289",8,"ada",0.5,0.8
"290",8,"ada",0.4,0.75
"291",8,"ada",0.3,0.7
"292",8,"ada",0.3,0.65
"293",8,"ada",0.25,0.6
"294",8,"ada",0.2,0.55
"295",8,"ada",0.1,0.5
"296",8,"ada",0.15,0.45
"297",8,"ada",0,0.4
"298",8,"ada",0,0.35
"299",8,"ada",0.05,0.3
"300",8,"ada",0,0.25
"301",8,"ada",0,0.2
"302",8,"ada",0,0.15
"303",8,"ada",0,0.0999999999999999
"304",8,"ada",0,0.05
"305",9,"conf",0.8,0.95
"306",9,"conf",0.8,0.9
"307",9,"conf",0.8,0.85
"308",9,"conf",0.75,0.8
"309",9,"conf",0.7,0.75
"310",9,"conf",0.7,0.7
"311",9,"conf",0.6,0.65
"312",9,"conf",0.6,0.6
"313",9,"conf",0.6,0.55
"314",9,"conf",0.5,0.5
"315",9,"conf",0.5,0.45
"316",9,"conf",0.45,0.4
"317",9,"conf",0.45,0.35
"318",9,"conf",0.35,0.3
"319",9,"conf",0.35,0.25
"320",9,"conf",0.3,0.2
"321",9,"conf",0.25,0.15
"322",9,"conf",0.25,0.0999999999999999
"323",9,"conf",0.2,0.05
"324",9,"ada",0.8,0.95
"325",9,"ada",0.7,0.9
"326",9,"ada",0.3,0.85
"327",9,"ada",0.4,0.8
"328",9,"ada",0.45,0.75
"329",9,"ada",0.3,0.7
"330",9,"ada",0.25,0.65
"331",9,"ada",0.25,0.6
"332",9,"ada",0.2,0.55
"333",9,"ada",0.15,0.5
"334",9,"ada",0.25,0.45
"335",9,"ada",0.2,0.4
"336",9,"ada",0.05,0.35
"337",9,"ada",0.1,0.3
"338",9,"ada",0.05,0.25
"339",9,"ada",0.1,0.2
"340",9,"ada",0.1,0.15
"341",9,"ada",0,0.0999999999999999
"342",9,"ada",0,0.05
"343",10,"conf",0.95,0.95
"344",10,"conf",0.9,0.9
"345",10,"conf",0.75,0.85
"346",10,"conf",0.75,0.8
"347",10,"conf",0.7,0.75
"348",10,"conf",0.6,0.7
"349",10,"conf",0.6,0.65
"350",10,"conf",0.6,0.6
"351",10,"conf",0.6,0.55
"352",10,"conf",0.6,0.5
"353",10,"conf",0.55,0.45
"354",10,"conf",0.45,0.4
"355",10,"conf",0.45,0.35
"356",10,"conf",0.45,0.3
"357",10,"conf",0.45,0.25
"358",10,"conf",0.45,0.2
"359",10,"conf",0.4,0.15
"360",10,"conf",0.35,0.0999999999999999
"361",10,"conf",0.25,0.05
"362",10,"ada",0.55,0.95
"363",10,"ada",0.45,0.9
"364",10,"ada",0.35,0.85
"365",10,"ada",0.4,0.8
"366",10,"ada",0.35,0.75
"367",10,"ada",0.2,0.7
"368",10,"ada",0.3,0.65
"369",10,"ada",0.1,0.6
"370",10,"ada",0.2,0.55
"371",10,"ada",0.15,0.5
"372",10,"ada",0.05,0.45
"373",10,"ada",0.15,0.4
"374",10,"ada",0.15,0.35
"375",10,"ada",0.1,0.3
"376",10,"ada",0.05,0.25
"377",10,"ada",0.05,0.2
"378",10,"ada",0.05,0.15
"379",10,"ada",0,0.0999999999999999
"380",10,"ada",0,0.05
"381",11,"conf",1,0.95
"382",11,"conf",1,0.9
"383",11,"conf",0.9,0.85
"384",11,"conf",0.9,0.8
"385",11,"conf",0.8,0.75
"386",11,"conf",0.75,0.7
"387",11,"conf",0.55,0.65
"388",11,"conf",0.55,0.6
"389",11,"conf",0.55,0.55
"390",11,"conf",0.5,0.5
"391",11,"conf",0.4,0.45
"392",11,"conf",0.4,0.4
"393",11,"conf",0.35,0.35
"394",11,"conf",0.35,0.3
"395",11,"conf",0.25,0.25
"396",11,"conf",0.2,0.2
"397",11,"conf",0.2,0.15
"398",11,"conf",0.1,0.0999999999999999
"399",11,"conf",0.05,0.05
"400",11,"ada",0.6,0.95
"401",11,"ada",0.7,0.9
"402",11,"ada",0.55,0.85
"403",11,"ada",0.45,0.8
"404",11,"ada",0.3,0.75
"405",11,"ada",0.4,0.7
"406",11,"ada",0.1,0.65
"407",11,"ada",0.2,0.6
"408",11,"ada",0.3,0.55
"409",11,"ada",0.2,0.5
"410",11,"ada",0.2,0.45
"411",11,"ada",0.2,0.4
"412",11,"ada",0.25,0.35
"413",11,"ada",0.15,0.3
"414",11,"ada",0.2,0.25
"415",11,"ada",0.2,0.2
"416",11,"ada",0.15,0.15
"417",11,"ada",0.1,0.0999999999999999
"418",11,"ada",0,0.05
"419",12,"conf",0.95,0.95
"420",12,"conf",0.9,0.9
"421",12,"conf",0.85,0.85
"422",12,"conf",0.8,0.8
"423",12,"conf",0.75,0.75
"424",12,"conf",0.75,0.7
"425",12,"conf",0.7,0.65
"426",12,"conf",0.65,0.6
"427",12,"conf",0.65,0.55
"428",12,"conf",0.6,0.5
"429",12,"conf",0.45,0.45
"430",12,"conf",0.35,0.4
"431",12,"conf",0.35,0.35
"432",12,"conf",0.3,0.3
"433",12,"conf",0.3,0.25
"434",12,"conf",0.2,0.2
"435",12,"conf",0.15,0.15
"436",12,"conf",0.05,0.0999999999999999
"437",12,"conf",0.05,0.05
"438",12,"ada",0.4,0.95
"439",12,"ada",0.5,0.9
"440",12,"ada",0.45,0.85
"441",12,"ada",0.35,0.8
"442",12,"ada",0.4,0.75
"443",12,"ada",0.2,0.7
"444",12,"ada",0.2,0.65
"445",12,"ada",0.2,0.6
