pupil_diameter_r_mm-FPC3,eda_hand_l_kOhms-PosCount,gaze_direction_l_y_mm-SD,gaze_direction_l_x_mm-MedAbsDev,pupil_diameter_r_mm-TimeMax,gaze_direction_r_y_mm-SD,gaze_origin_l_y_mm-Skew,ppg_finger_mV-PosCount,pupil_diameter_l_mm-FPC3
0.096826983,515,0.159489179,0.032943726,47,0.156397666,0.476080369,515,-0.341055537
1.191583799,460,0.11270386800000001,0.038848877000000004,352,0.10845387199999999,0.7731034659999999,460,0.134260549
2.306457324,445,0.12941523800000002,0.038299561,74,0.129633681,0.495821384,445,1.347240116
-1.201248563,389,0.10479147400000001,0.030677795,351,0.103507604,-2.0158239019999997,389,-0.425589259
-1.0415969390000002,565,0.12246637099999999,0.030540466000000002,476,0.11870703,-1.349740301,565,-1.679811622
-1.4946695319999999,388,0.11148026800000001,0.02772522,332,0.10689351400000001,-1.8850402419999999,388,-1.7403773669999998
4.591365579,407,0.13460921,0.036605835,26,0.128582144,0.278279111,407,4.651073341
1.689710117,440,0.131527263,0.039505005,312,0.12670541800000001,1.019042705,440,1.7653104480000001
-2.222404328,455,0.12383929,0.035644531,416,0.112927344,-0.273395462,455,-1.768423285
1.3376073179999999,434,0.113172291,0.029022217000000003,273,0.105172895,0.068209412,434,1.930266304
0.670564842,449,0.12937158199999998,0.03074646,365,0.115383216,1.19898829,449,0.462131611
5.5388899920000005,414,0.166220504,0.030143738,137,0.15515338,0.09438899199999999,414,7.668572481
-3.129649708,540,0.09340227300000001,0.049194336,537,0.096963899,-1.16349677,540,-3.725769878
-0.254449631,257,0.116910943,0.045028687000000005,250,0.119997076,-3.0972570339999996,257,1.69869223
-1.05104124,499,0.094675469,0.046798705999999995,159,0.099036019,-1.168041781,499,-0.770971231
-2.341108026,481,0.087701377,0.04083252,475,0.092928287,0.215751145,481,-2.080177385
-1.1671888320000001,297,0.08640971,0.034805298,291,0.077800433,-0.733254423,297,-2.481756264
-4.099643251,483,0.08028609,0.032417297000000005,475,0.073801196,-0.22498206899999998,483,-3.2429367780000002
-3.8360768760000004,455,0.093150285,0.035324097,399,0.084438216,-1.865239857,455,-4.927335783
-0.489925641,474,0.10237326,0.028244019,461,0.09127817199999999,-2.1229567019999998,474,-0.805880721
4.767633945,384,0.095000048,0.049293518,269,0.087487575,-0.65223064,382,5.128628292
0.535863102,227,0.099379858,0.035751343,219,0.089415729,-1.600314958,225,0.9372589990000001
-2.470497656,404,0.075774324,0.047958374000000005,408,0.078037951,-0.164112555,398,-3.43908425
-0.512983796,734,0.081352227,0.036117553999999996,357,0.09424488800000001,-0.17831376100000002,729,-1.3679548719999999
-3.8410329739999995,483,0.10316925099999999,0.04523468,413,0.0925182,-2.2462616,480,-2.464201456
-3.108267568,392,0.09310398199999999,0.032897948999999996,386,0.09144194,-0.298642922,392,-3.494563584
-1.216470374,324,0.15680165599999998,0.036193848,195,0.152410885,0.228992527,322,1.215560915
1.961890857,437,0.111272749,0.037475586,330,0.11067766,-0.629027778,435,2.831363594
-1.530450209,404,0.098662179,0.041992188,363,0.102686123,-0.270529985,398,-3.770341133
3.016481771,446,0.110359278,0.040458679,2,0.104653419,-0.23553335600000003,444,2.868640327
0.744554947,409,0.107747501,0.034576416,44,0.106071297,-4.583328477,404,0.429625162
-0.636793688,369,0.12722643,0.050216675,204,0.12439626599999999,-1.121681579,365,0.047675800000000004
7.675359041,406,0.098828039,0.043907166,156,0.101319825,1.878514559,406,6.880671259
2.127323316,466,0.070439825,0.015365601000000001,392,0.06974325,-0.059920048,466,2.351168169
2.947123383,437,0.09246656800000001,0.040206909,299,0.09154142800000001,0.95713326,437,2.319381897
-0.913553112,434,0.065506007,0.019134521,390,0.061977683,-1.641321225,434,-0.505888907
1.044997362,454,0.082197739,0.022659302000000003,364,0.078836361,-0.45690323899999996,454,0.793567365
-2.630496897,432,0.058426662000000004,0.044998169000000005,380,0.056905619000000005,-1.557930249,432,-2.414927806
4.48681179,486,0.10482656300000001,0.039657593,49,0.104747054,-0.8725781020000001,486,5.265057458
1.967988929,483,0.100005162,0.043251038,2,0.105306556,-0.585713193,483,2.08236177
-2.18511844,402,0.061446003,0.02570343,361,0.060299702000000004,-2.209721209,399,-3.1042813689999997
1.416072575,439,0.079891308,0.027481079,295,0.079893513,-0.11614074199999999,439,1.6376785809999999
2.1932263709999997,454,0.068451291,0.030311584,355,0.072497144,0.086724631,454,3.356625952
5.715541676,390,0.10821572,0.038711548,35,0.108151766,0.6780890340000001,390,4.998463044
3.6771527,393,0.113991676,0.042114257999999995,169,0.11541782,0.259781167,393,3.3578095269999997
2.62485905,455,0.10841590300000001,0.026412964,298,0.109095284,3.479734301,455,2.252164793
0.894823466,458,0.107159126,0.039749146,312,0.10967598,3.37416975,458,-0.459673325
0.074780798,410,0.10012211800000001,0.02507782,400,0.099969579,-1.491328177,410,0.6875050009999999
-1.889868122,491,0.105371906,0.039932251,307,0.100628411,-0.11212684,491,-1.237155829
-1.314253766,443,0.09235010199999999,0.037696837999999996,78,0.08891855300000001,-0.624176249,443,-1.3318516790000001
2.204325825,421,0.104562894,0.054420471,102,0.100015156,2.99308444,420,3.559225632
0.587902997,468,0.09524723800000001,0.048217773,19,0.092108596,4.298336739,468,1.328790927
-4.250032666,519,0.103319638,0.040908812999999995,272,0.105459002,-2.1960583959999997,519,-3.616070253
-0.249355622,455,0.098677789,0.035003662000000005,288,0.102683106,2.874278442,455,-0.6266884739999999
0.19768225,450,0.086743974,0.030914307000000002,17,0.09162379300000001,2.574821789,450,-0.269502428
2.11137317,425,0.107663163,0.046836853,40,0.112816717,0.9897615009999999,425,2.687584362
0.689270956,410,0.105265274,0.015769958,266,0.10454684800000001,14.82732567,409,2.026837692
1.554941486,436,0.10468678699999999,0.021614075,179,0.101066474,0.083389406,434,2.75531843
-0.45589653,505,0.104495996,0.023712157999999997,359,0.099936342,1.2448245759999998,511,-0.9667924929999999
-0.298918361,437,0.072624272,0.021568298,112,0.070424319,0.211794095,441,0.30014578
-0.41732352799999994,445,0.08668266699999999,0.018432617,394,0.082312356,0.9177394609999999,445,-0.36615457
0.11003184,341,0.076175736,0.023284912,391,0.073737771,0.476972176,424,0.061243483
0.212329157,414,0.088206552,0.016555786,411,0.082578678,0.9196341259999999,413,1.572026036
-0.716315849,432,0.09010164699999999,0.018455505,64,0.08639643300000001,0.796376752,430,-0.547063854
-0.213641802,433,0.08201733900000001,0.027252197000000002,379,0.080651789,1.203030148,433,-0.04730066
-0.476824166,434,0.084626721,0.019790649,212,0.080723812,3.144885281,434,-0.350910669
-0.24228192399999998,450,0.086483029,0.019691467,447,0.08483765199999999,11.85898553,449,0.419751352
-0.014216899,405,0.088432372,0.023223877,130,0.086421524,11.8559856,405,1.159588475
